"number","behaviour_event","value","type_event","fps","time","depth","x","y","z","behaviour","type","location","place","raw","date"
1,"1.moving",1,"1.Travelling",6574,"2016-08-09 16:17:59",0.81,0.605,-0.57,1.242,"moving","Travelling","land","land","moving",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6575,"2016-08-09 16:17:59",0.78,0.281,-0.522,1.627,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6576,"2016-08-09 16:17:59",0.78,1.036,0,1.153,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6577,"2016-08-09 16:17:59",0.78,0.719,-0.113,0.609,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6578,"2016-08-09 16:17:59",0.78,0.308,-0.109,0.374,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6579,"2016-08-09 16:17:59",0.81,0.278,-0.18,0.605,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6580,"2016-08-09 16:17:59",0.78,0.349,-0.158,0.398,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6581,"2016-08-09 16:17:59",0.78,0.545,-0.19,0.097,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6582,"2016-08-09 16:17:59",0.78,0.798,-0.106,-0.383,"moving","Travelling","land","land","",2016-08-09 16:17:59
1,"1.moving",1,"1.Travelling",6583,"2016-08-09 16:18:00",0.81,0.497,0.403,0.829,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6584,"2016-08-09 16:18:00",0.81,0.301,0.491,1.435,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6585,"2016-08-09 16:18:00",0.81,0.883,0.194,1.566,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6586,"2016-08-09 16:18:00",0.78,0.417,-0.324,0.62,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6587,"2016-08-09 16:18:00",0.78,-0.029,-0.147,0.183,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6588,"2016-08-09 16:18:00",0.78,0.503,-0.218,0.179,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6589,"2016-08-09 16:18:00",0.78,0.533,-0.148,0.321,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6590,"2016-08-09 16:18:00",0.78,0.452,-0.208,0.2,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6591,"2016-08-09 16:18:00",0.81,1.246,0.181,1.12,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6592,"2016-08-09 16:18:00",0.81,1.643,0.04,1.491,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6593,"2016-08-09 16:18:00",0.78,0.8,-0.121,1.127,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6594,"2016-08-09 16:18:00",0.78,0.488,-0.396,1.518,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6595,"2016-08-09 16:18:00",0.78,-0.163,-0.041,0.945,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6596,"2016-08-09 16:18:00",0.78,-0.083,-0.058,0.39,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6597,"2016-08-09 16:18:00",0.78,0.554,-0.11,0.114,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6598,"2016-08-09 16:18:00",0.81,0.829,-0.13,0.289,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6599,"2016-08-09 16:18:00",0.78,0.734,0.024,0.093,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6600,"2016-08-09 16:18:00",0.78,0.71,0.026,0.698,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6601,"2016-08-09 16:18:00",0.78,0.726,-0.684,0.75,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6602,"2016-08-09 16:18:00",0.78,0.841,-0.74,1.081,"moving","Travelling","land","land","",2016-08-09 16:18:00
1,"1.moving",1,"1.Travelling",6603,"2016-08-09 16:18:01",0.78,0.541,-0.911,1.179,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6604,"2016-08-09 16:18:01",0.78,-0.079,-0.598,0.778,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6605,"2016-08-09 16:18:01",0.78,-0.27,-0.122,0.816,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6606,"2016-08-09 16:18:01",0.78,0.023,0.578,0.751,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6607,"2016-08-09 16:18:01",0.78,0.132,0.893,0.719,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6608,"2016-08-09 16:18:01",0.78,0.463,0.699,0.666,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6609,"2016-08-09 16:18:01",0.78,0.007,0.148,0.505,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6610,"2016-08-09 16:18:01",0.78,0.108,-0.636,0.09,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6611,"2016-08-09 16:18:01",0.78,0.39,-1.259,0.452,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6612,"2016-08-09 16:18:01",0.78,0.737,-1.27,0.35,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6613,"2016-08-09 16:18:01",0.78,0.536,-0.71,0.441,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6614,"2016-08-09 16:18:01",0.78,0.166,0.05,0.725,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6615,"2016-08-09 16:18:01",0.78,0.136,0.613,0.616,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.moving",1,"1.Travelling",6616,"2016-08-09 16:18:01",0.78,0.32,0.853,0.682,"moving","Travelling","land","land","",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6617,"2016-08-09 16:18:01",0.78,0.23,0.703,0.798,"sitting","Resting","land","land","sitting",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6618,"2016-08-09 16:18:01",0.78,0.276,0.481,0.779,"sitting","Resting","land","land","",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6619,"2016-08-09 16:18:01",0.78,0.43,0.36,0.669,"sitting","Resting","land","land","",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6620,"2016-08-09 16:18:01",0.81,0.649,0.572,0.628,"sitting","Resting","land","land","",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6621,"2016-08-09 16:18:01",0.78,0.696,0.668,0.61,"sitting","Resting","land","land","",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6622,"2016-08-09 16:18:01",0.78,0.661,0.479,0.789,"sitting","Resting","land","land","",2016-08-09 16:18:01
1,"1.sitting",2,"2.Resting",6623,"2016-08-09 16:18:02",0.78,0.652,0.272,0.778,"sitting","Resting","land","land","",2016-08-09 16:18:02
1,"1.sitting",2,"2.Resting",6624,"2016-08-09 16:18:02",0.78,0.751,0.209,0.671,"sitting","Resting","land","land","",2016-08-09 16:18:02
1,"1.sitting",2,"2.Resting",6625,"2016-08-09 16:18:02",0.81,0.834,0.184,0.62,"sitting","Resting","land","land","",2016-08-09 16:18:02
1,"1.sitting",2,"2.Resting",6626,"2016-08-09 16:18:02",0.81,0.832,0.134,0.649,"sitting","Resting","land","land","",2016-08-09 16:18:02
1,"1.sitting",2,"2.Resting",6627,"2016-08-09 16:18:02",0.78,0.835,0.04,0.618,"sitting","Resting","land","land","",2016-08-09 16:18:02
1,"1.sitting",2,"2.Resting",6628,"2016-08-09 16:18:02",0.78,0.802,-0.02,0.615,"sitting","Resting","land","land","",2016-08-09 16:18:02
